Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
Дальневосточный государственный университет путей сообщения г.Хабаровск;Хабаровск;1;82;48,4647991;135,0598811
"Бюджетное общеобразовательное учреждение Ханты-Мансийского автономного округа - Югры ""Югорский физико-математический лицей-интернат"" города Ханты-Мансийска Тюменской области";Ханты-Мансийск;1;82;61,0024344;69,0183322
МБОУ Гимназия №5 г. Усть-Лабинск;Усть-Лабинск;1;82;45,222676;39,6930239
Школа-гимназия 10 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;2;82;49,97143;82,60586
Средняя общеобразовательная школа 6 г.Юрга МБОУ;Юрга;1;82;55,7202689;84,8885516
"Муниципальное бюджетное общеобразовательное учреждение""Средняя общеобразовательная  школа №121""";Снежинск;1;82;56,085232;60,7324989
"Лицей ""Билим Инновация""";Семей;2;82;50,42675;80,26669
"коммунальное государственное учреждение ""Средняя общеобразовательная школа №28"" ГУ ""Отдел образования г. Семей ВКО""";Семей;1;82;50,42675;80,26669
Северский лицей;Северск;1;82;56,6031143;84,8809687
Средняя общеобразовательная школа 6 г.Сургут;Сургут;1;82;61,2539773;73,3961726
Гимназия 4 им.Л.Н.Толстого г.Степногорск р.Казахстан;Степногорск;1;82;52,35062;71,88161
Средняя школа № 32 г.Томска;Томск;1;82;56,4847036;84,9481737
Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;51;81;56,4847036;84,9481737
Средняя общеобразовательная школа 9 г.Семей Р.Казахстан;Семей;2;81;50,42675;80,26669
Профессиональное училище № 59 имени И.В. Асанова г Юрги;Юрга;1;81;55,7202689;84,8885516
Школа-лицей №46;Шымкент;2;81;42,3;69,6
Средняя школа № 1 города Хазар;Хазар;4;81;41,9974;48,33325
ФГАОУ ВО Тюменский государственный университет;Тюмень;4;81;57,1530824;65,5343118
Тяжинская средняя общеобразовательная школа 2 пгт.Тяжинский;Тяжинский;2;81;56,11607;88,52279
Профессиональный лицей №53 г. Новокуйбышевск Самарской обл.;Новокуйбышевск;1;81;53,0995303;49,9477662
"МБОУ ""Лицей № 35 имени А. И. Герлингер"" г. Новокузнецка";Новокузнецк;2;81;53,7942757;87,2144046
Средняя общеобразовательная школа 2 г.Риддер Р.Казахстан;Риддер;3;81;51,07371953;83,94533081
Школа-лицей 4 им. Абая г.Сатпаев Р.Казахстан;Сатпаев;1;81;48,10042716;67,64664506
Камчатский политехнический техникум г.Петропавловск-Камчатский;Петропавловск-Камчатский;1;81;53,0370213;158,6559142
Средняя общеобразовательная школа 34 инновационного типа г.Павлодара Р.Казахстан;Павлодар;2;81;52,28333;76,96667
Инженерный лицей Новосибирского государственного технического университета;Новосибирск;5;81;55,0281016;82,9210575
"МБОУ ""Лицей №23""";Кемерово;5;81;55,3909721;86,0467864
Средняя общеобразовательная школа 74 г.Караганда Р.Казахстан;Караганда;4;81;49,83333;73,1658
"КГАОУ ""Школа космонавтики""";Железногорск;3;81;52,3378753;35,3516834
"КГАОУ ""Школа космонавтики""";Железногорск;3;81;56,2529346;93,532167
Анжеро-Судженский политехнический колледж;Анжеро-Судженск;22;81;56,0787179;86,0202207
Лицей 134 г.Алматы Р.Казахстан;Алматы;1;81;43,25667;76,92861
"МБОУ города Абакана ""Гимназия""";Абакан;3;81;53,7223661;91,4437792
Среднее общеобразовательное учреждение №1 г. Вахдат Республики Таджикистан;Вахдат;4;81;38,553056;69,019722
Школа-гимназия им. академика А. Мамытова;Бостери;1;81;42,660795;77,188343
Большемуртинская средняя общеобразовательная школа 1 пгт Б.Мурта Красноярского края;Большая Мурта;1;80;56,94859989;93,14166455
