Средний_балл;Учебное_заведение;Город;Число_поступающих
80;"МБОУ ""Лицей №15""";Березовский;4
80;Алтайский краевой педагогический лицей-интернат ;Барнаул;1
80;МАОУ гимназия №2 г. Асино;Асино;3
80;"Частная языковая средняя общеобразовательная школа ""Талайе Эль-Мустакбал"" для юношей";Каир;1
80;Лицей 3 г.Иркутск;Иркутск;1
80;ФГБОУ ВПО Поволжский государственный технологический университет;Йошкар-Ола;1
80;МБОУ Гимназия №18;Краснодар;1
80;Средняя общеобразовательная школа 7 г.Краснокаменска;Краснокаменск;1
80;Гимназия 14 Университетская г.Новосибирска;Новосибирск;1
80;Школа №482;Парголово;1
80;Средняя общеобразовательная школа 1 г.Первоуральск;Первоуральск;1
80;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов №30;Пятигорск;1
80;Рудненский политехнический колледж;Рудный;1
80;Средняя общеобразовательная школа 210 г.Новосибирска;Новосибирск;1
80;Структурное подразделение Новосибирского государственного университета Специализированный учебно-научный центр Университета;Новосибирск;2
80;"МОАУ ""Гимназия №1""";Нефтекамск;1
80;"МОАУ ""Башкирская гимназия""";Нефтекамск;1
80;Минусинский кадетский корпус;Минусинск;1
80;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №3""";Кумертау;1
80;"МАОУ ""СОШ №7""";Курган;2
80;ГБПОУ Республики Саха (Якутия) Горно-геологический техникум;Хандыга;1
80;Муниципальное автономное общеобразовательное учреждение гимназия № 6;Хабаровск;1
80;МБОУ лицей №3;Учалы;1
80;МАОУ СОШ №42 города Тюмени;Тюмень;1
80;Средняя школа имени Бауыржана Момышулы;Урджар;1
80;"МОУ ""Средняя школа №7 городского округа Стрежевой с углубленным изучением отдельных предметов"" Томской области";Стрежевой;1
80;муниципальное общеобразовательное бюджетное учреждение лицей №22 г.Сочи Краснодарского края;Сочи;1
80;МАОУ СОШ №9 с углубленным изучением отдельных предметов;Тобольск;1
80;"МАОУ ""СОШ №9 с углубленным изучением отдельных предметов""";Тобольск;2
79;"КГУ ""Школа-гимназия №4 имени Л.Н. Толстого"" г. Степногорска Акмолинской области";Степногорск;3
79;Средняя общеобразовательная школа 31 г.Семей Р.Казахстан;Семей;1
79;Средняя многопрофильная школа 37 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;2
79;Средняя школа №4 г.Хазар;Хазар;1
79;Министерство воспитания и образования;Хартум;1
79;Школа-лицей 46;Шымкент;2
79;Общеобразовательная школа 3 акимата г. Шахтинска Р.Казахстан;Шахтинск;2
79;лицей № 9 имени О.А. Жолдасбекова;Шымкент;1
79;Средняя общеобразовательная школа Кудургу № 2 имени Кусенбекова р.Кыргызстан;Кудургу;2
79;Сибирский геофизический колледж;Новосибирск;1
79;Калиновская средняя школа им. Г.Мусрепова п.Рузаевка СКО Р.Казахстан;Рузаевка;2
79;"БОУ ""Русскополянская средняя общеобразовательная школа №2 имени Героя Советского Союза Г. Г. Светецкого""";Русская Поляна;2
79;МБОУ Школа №71;Прокопьевск;2
79;Государственная школа-интернат одарённых детей им.Сапармурата Туркменбаши;Ашхабад;1
78;Средняя общеобразовательная школа 1 г.Березовский;Березовский;1
78;МБОУ СОШ №13 г. Бердска;Бердск;1
78;МАОУ Богандинская СОШ №1;Богандинский;1
78;Бийский лицей-интернат Алтайского края;Бийск;2
78;Средняя общеобразовательная школа 14 (Новый образовательный центр) городского округа Город Губаха Пермского края;Губаха;1
78;Муниципальная средняя (полная) общеобразовательная школа № 4 г.Колпашево;Колпашево;1
78;"КГУ ""Кокпектинская СОШ""";Кокпекты;2
78;"МБОУ ""СОШ №92""";Кемерово;1
78;Кемеровский областной медицинский колледж;Кемерово;2
78;"КГУ ""Красно-Полянская ОСШ """;Караганда;1
78;Средняя общеобразовательная школа 34 г.Каменск-Уральский;Каменск-Уральский;1
78;"МБОУ ""Средняя школа №90""";Железногорск;3
78;Средняя общеобразовательная школа 6 г.Радужный;Радужный;1
78;"Муниципальное бюджетное общеобразовательное учреждение ""Школа №28 имени Героя Советского союза Д.М.Карбышева";Самара;1
78;Академическая Гимназия имени Д.К. Фаддеева;Санкт-Петербург;1
78;Профессионально-техническое училище №10 г.Северска;Северск;1
78;Муниципальная средняя (полная) общеобразовательная школа № 88 г.Северск;Северск;1
78;МБОУ Лицей №126;Новосибирск;1
78;Школа-гимназия №2 имени Гафу Каирбекова;Нур-Султан;4
78;"БОУ ""Средняя общеобразовательная школа №83"" ";Омск;1
78;МОАУ Гимназия № 2 г. Орска;Орск;1
78;"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 170""";Нижний Новгород;1
78;МАОУ Гимназия №2;Красноярск;1
78;"КГКП ""Шахтинский технологический колледж""";Шахтинск;2
78;МБОУ Лицей города Юрги;Юрга;1
78;"Коммунальное государственное учреждение ""Школа-гимназия №35 Отдела образования акимата города Экибастуза""";Экибастуз;1
78;"МОБУ ""Городская классическая гимназия"" городского округа ""город Якутск"", Республика Саха (Якутия)";Якутск;1
78;"МБОУ ""Марушинская средняя общеобразовательная школа"" Целинного района Алтайского края";Целинное;1
78;МБОУ СОШ №89;Челябинск;1
78;"МАОУ ""Средняя общеобразовательная школа № 25 с углубленным изучением отдельных предметов г. Уссурийска имени В.Г. Асапова";Уссурийск;1
78;Гимназия №1 г.Тюмени;Тюмень;1
78;МАОУ лицей №81;Тюмень;1
78;МАОУ СОШ №62;Тюмень;1
78;Средняя общеобразовательная школа №19 с углубленным изучением отдельных предметов;Татарстан;1
78;МАОУ СОШ № 9;Тавда;1
78;Томский музыкальный колледж им. Э.В.Денисова;Томск;1
78;Сибирский лицей г. Томска;Томск;2
78;"ГПОУ ""Топкинский технический техникум""";Топки;1
78;Муниципальное казённое общеобразовательное учреждение Топчихинская средняя общеобразовательная школа №1 имени Героя России Дмитрия Ерофеева;Топчиха;1
77;МАОУ Сибирский лицей г. Томск;Томск;6
77;"ОГБОУ ""Томский физико-технический лицей"" г. Томска Томской области";Томск;2
77;Тисульская средняя общеобразовательная школа № 1 Тисульского р-на Кемеровской области;Тисуль;2
77;Гимназия № 18;Ленинск-Кузнецкий;2
77;КГУ Средняя школа 16 села Садовое Осакаровского района Карагандинской области;Садовое;1
77;Лицей №6;Рубцовск;2
77;"МБОУ ""Зырянская средняя общеобразовательная школа""";Зырянское;4
77;Гимназия 93 г.Караганда Р.Казахстан;Караганда;1
77;школа-гимназия № 38;Бишкек;1
77;Средняя школа Шахид Аль-Акида;Басра;1
76;Гимназия 1 г.Белогорска;Белогорск;1
76;Гимназия 22, г. Барнаул;Барнаул;2
76;"МБОУ ""Белокурихинская средняя общеобразовательная школа №1"" Алтайского края";Белокуриха;1
76;Аксуский колледж им.Жаяу Мусы г.Аксу Р.Казахстан;Аксу;1
76;" КГУ "" Гимназия №93""";Караганда;1
76;Средняя общеобразовательная школа № 37;Кемерово;1
76;"ГУ ""Средняя школа имени Досова отдела образования Бурабайского района";Катарколь;1
76;"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №14"" города Кемерово Кемеровской области";Кемерово;1
76;Кожевниковская муниципальная средняя (полная) общеобразовательная школа № 1;Кожевниково;1
76;Лицей № 1;Киселевск;1
76;Средняя общеобразовательная школа 150 г.Красноярска;Красноярск;1
76;"МБОУ ""СОШ №84 с углубленным изучением отдельных предметов""";Ижевск;1
